name,id
Jax,24
Sona,37
Tristana,18
Varus,110
Fiora,114
Singed,27
Tahm Kench,223
LeBlanc,7
Thresh,412
Karma,43
Jhin,202
Rumble,68
Udyr,77
Lee Sin,64
Yorick,83
Ornn,516
Kayn,141
Kassadin,38
Sivir,15
Miss Fortune,21
Draven,119
Yasuo,157
Kayle,10
Shaco,35
Renekton,58
Hecarim,120
Fizz,105
KogMaw,96
Maokai,57
Lissandra,127
Jinx,222
Urgot,6
Fiddlesticks,9
Galio,3
Pantheon,80
Talon,91
Gangplank,41
Ezreal,81
Gnar,150
Teemo,17
Annie,1
Mordekaiser,82
Azir,268
Kennen,85
Riven,92
ChoGath,31
Aatrox,266
Poppy,78
Taliyah,163
Illaoi,420
Heimerdinger,74
Alistar,12
Xin Zhao,5
Lucian,236
Volibear,106
Sejuani,113
Nidalee,76
Garen,86
Leona,89
Zed,238
Blitzcrank,53
Rammus,33
VelKoz,161
Caitlyn,51
Trundle,48
Kindred,203
Quinn,133
Ekko,245
Nami,267
Swain,50
Taric,44
Syndra,134
Rakan,497
Skarner,72
Braum,201
Veigar,45
Xerath,101
Corki,42
Nautilus,111
Ahri,103
Jayce,126
Darius,122
Tryndamere,23
Janna,40
Elise,60
Vayne,67
Brand,63
Graves,104
Soraka,16
Xayah,498
Karthus,30
Vladimir,8
Zilean,26
Katarina,55
Shyvana,102
Warwick,19
Ziggs,115
Kled,240
KhaZix,121
Olaf,2
Twisted Fate,4
Nunu,20
Rengar,107
Bard,432
Irelia,39
Ivern,427
Wukong,62
Ashe,22
Kalista,429
Akali,84
Vi,254
Amumu,32
Lulu,117
Morgana,25
Nocturne,56
Diana,131
Aurelion Sol,136
Zyra,143
Viktor,112
Cassiopeia,69
Nasus,75
Twitch,29
DrMundo,36
Orianna,61
Evelynn,28
RekSai,421
Lux,99
Sion,14
Camille,164
Master Yi,11
Ryze,13
Malphite,54
Anivia,34
Shen,98
Jarvan IV,59
Malzahar,90
Zac,154
Gragas,79
